channel_username,message_id,post_url,published_at,text,marketing_status,tags,mapped_courses,course_match_status,evidence_text,classification_note
postypashki_old,1830,https://t.me/postypashki_old/1830,2026-08-05T16:03:53+00:00,"Как повысить профессиональный рейтинг

Раньше было достаточно откликнуться на вакансию в красном демоне и ждать приглашения на собес. Сейчас - нет. Количество кандидатов растёт, вакансий становится меньше, а ИИ уже проходит базовые собесы. Теперь нужно вкладываться в личный бренд и нетворкинг, чтобы рекрутеры бегали за тобой, а не наоборот. Разобрал популярные способы, которые реально работают.

Статьи
Отличный способ, чтобы апнуться в теме как специалист, потому что параллельно придется перебрать немало материалов, чтобы не наврать, не ошибиться или просто для вдохновения. Вдохновиться написать статью несложно: просто заварите кофе, откройте статьи/посты по своей теме и записывайте все идеи, которые пришли в голову.
Статьи можно публиковать на LinkedIn, собирая лайки и прокачивая свой профиль. В комментариях к своей статьи можно законектиться с заряженными специалистами. И также статьи можно прикладывать при подаче на талантливые визы вроде O1 в США.

Конференции
Статьи отлично подготавливают почву к выступлениям. Выступать обязательно для умного и классного специалиста, особенно если метишь в лиды/руководители. Когда у тебя микрофон, все вокруг думают, что ты - очень умный и классный. Когда тема выступления придумана, просто составь список всех конференций по этой теме на ближайший год, запишись, подготовь презентацию и отрепетируй речь, возможные вопросы аудитории (в том числе и злые вопросы).

Пет проекты
Необязательно реализовывать целый проект, достаточно предложить небольшое улучшение в библиотеку с открытым исходным кодом. Или можно поиграться с какой-то технологией, до которой давно не доходили руки. Или сделать SaaS-сервис.

Соревнования
Хакатоны, Kagglы, Codeforcesы, Game Jamы, Кейс-чемпионаты - все это способы для нетворка, повышения самооценки и расширения социальных связей. Если нужна команда, ее можно собрать прям во время чемпиона в нашем чате.

Как конектиться
Все эти способы - способы качественного нетворкинга. Например, пришел на конференцию, послушал доклад. И либо подошел в живую пообщался, либо напиши в LinkenId: ""Слушал тебя сегодня на конференции Х, очень крутой доклад, спасибо! Расскажи побольше про твою компанию"". Обязательно начни с комплимента и улыбнись - внимание и признание их труда очень располагает людей. И после твоих слов ""Видел у вас классная должность открыта"", он уже готов дать тебе рефер и все, что захочешь. И все вот тебе друг и коллега. Так же по аналогии можно делать со всеми активностями выше.

Итого
Тебе необязательно должны нравится все эти активности. Попробуй и выбери, что по душе. Главное помни, что эти активности скорее хобби, а не про зарабатывание денег здесь и сейчас. Они нужны для твоего роста как специалиста и прокачки нетворкинга, что уже потом пригодиться при поиске работы/проектов, рефералов. К тому же, если метишь в лиды/руководители, то тебе просто необходимо повышать свой социальный рейтинг и багаж.

Подписаться: @postypashki_old",non_marketing,,[],none,Как повысить профессиональный рейтинг,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
postypashki_mems,1371,https://t.me/postypashki_mems/1371,2026-08-06T15:52:02+00:00,@postypashki_mems,unknown,uncertain,[],unknown,@postypashki_mems,В text только подпись @postypashki_mems. Наличие и смысл рекламы в медиа не установлены; подпись не превращена в отдельную рекламную кампанию.
chad_protocol,509,https://t.me/chad_protocol/509,2026-08-06T16:04:43+00:00,"Сейчас растет спрос на аналитиков, так как из-за ИИ возникло очень много смежных задач, которые традиционно сваливаются на аналитиков (дата сайнтистов). При этом порог входа в аналитику относительно низкий. Специально для всех желающих вкатиться подготовил 5 пет проектов, которые гарантирует оффер крепкого джуна! Смотрим! Смотрим!

https://www.instagram.com/reel/Dba4YXKs8qV/?igsh=MXN2emFyOG43b29xYQ==",candidate,other;uncertain,[],none,"Сейчас растет спрос на аналитиков, так как из-за ИИ возникло очень много смежных задач, которые традиционно сваливаются на аналитиков (дата сайнтистов). При этом порог входа в аналитику относительно низкий. Специально для всех желающих вкатиться подготовил 5 п",Потенциальное продвижение собственного контента / репутации; в тексте нет достаточного подтверждения продажи или конкретного курса. Содержание внешнего видео не исследовалось.
postypashki_old,1831,https://t.me/postypashki_old/1831,2026-08-06T16:23:59+00:00,"Какие пет проекты гарантирует тебе оффер на мл-инженера? Обсудим в новом ролике. Смотрим! Смотрим!

https://www.youtube.com/watch?v=KTkqc4tY5Wk&t=43s",candidate,other;uncertain,[],none,Какие пет проекты гарантирует тебе оффер на мл-инженера? Обсудим в новом ролике. Смотрим! Смотрим!,Потенциальное продвижение собственного контента / репутации; в тексте нет достаточного подтверждения продажи или конкретного курса. Содержание внешнего видео не исследовалось.
postypashki_old,1833,https://t.me/postypashki_old/1833,2026-08-07T14:22:16+00:00,"Слив алгоритмического собеса в Авито. Смотрим! Смотрим!

https://www.youtube.com/watch?v=dO8fHARGgZY&sttick=0

Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито. Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!",confirmed,native,"[""Алгоритмы старт""]",explicit,Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито. Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!,"Курс прямо назван в рекламном контексте или указан в конкретной ссылке на программу; регистр / склонение / очевидный языковой вариант приведены к названию XLSX. Это соответствие названия, не атрибуция продаж."
algoses,592,https://t.me/algoses/592,2026-08-07T16:05:27+00:00,"Задача с собеседования в OpenText

Дана строка num, представляющая собой большое целое число. Число считается ""хорошим"", если оно удовлетворяет следующим условиям:
- оно является подстрокой длиной 3 в строке num
- все три цифры в числе одинаковы
Верните максимальное ""хорошее"" число в виде строки или пустую строку """", если такого числа не существует.
Обратите внимание, что строка num или ""хорошее"" число могут содержать ведущие нули.

Пример 1:
Input: num = ""6777133339""
Output: ""777""
Explanation: в строке содержатся два ""хороших"" числа: ""777"" и ""333"".
""777"" больше, возвращаем ""777"".

Пример 2:
Input: num = ""2300019""
Output: ""000""
Explanation: ""000""- единственное ""хорошее"" число.

Пример 3:
Input: num = ""42352338""
Output: """"
Explanation: строка не содержит подстроку из трёх одинаковых цифр. Следовательно, ""хорошего"" числа не существует.

Ограничения:
3 <= num.length <= 1000
Строка num состоит только из цифр.

НАШ ЧАТ АЛГОРИТМИСТОВ

Решение
Проходим по строке окном фиксированного размера 3, проверяя на каждой позиции, состоит ли окно из трёх одинаковых символов. Выбираем максимальное из валидных окон путём лексикографического сравнения.

Инициализируем переменную res, в которой будем хранить максимальную найденную подстроку, как пустую строку (первая же ""хорошая"" подстрока обновит res).
Проходим по строке num до len(num) - 2, проверяя все возможные начальные позиции трёхсимвольной подстроки (последняя валидная позиция, с которой может начаться подстрока - len(num) - 3):
Если текущий эл-т идентичен двум последующим:
- обновляем res, если найденная подстрока из трёх символов (берём срез строки с индексами i, i+1 и i+2) больше текущего значения res.
Возвращаем значение res.

Сложность
O(n) - по времени (проходим n-2 итераций, где n = len(num))
O(1) - по памяти (храним только одну переменную res)

Код
class Solution:
def largestGoodInteger(self, num: str) -> str:
res = """"
for i in range(len(num) - 2):
if num[i] == num[i+1] == num[i+2]:
res = max(res, num[i:i+3])

return res

@algoses",non_marketing,,[],none,Задача с собеседования в OpenText,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
postypashki_old,1834,https://t.me/postypashki_old/1834,2026-08-08T06:05:37+00:00,"Магистратура по e-commerce от РУДН и Wildberries — для тех, кто хочет развиваться в электронной коммерции
Программа сочетает системный подход высшего образования РУДН и практику экспертов RWB — крупнейшего игрока российского e-commerce.

Для поступающих — скидка 10% на первый год обучения при оплате до 13 августа.
Также есть возможность оплатить первый семестр в рассрочку.
Магистратура подойдет специалистам, которые хотят строить или развивать карьеру в электронной коммерции, предпринимателям и выпускникам бакалавриата.

За два года обучения вы получите не только диплом магистра РУДН, но и практический опыт, знания о рынке электронной коммерции и возможность учиться у экспертов индустрии.
Обучение проходит онлайн — его можно совмещать с работой и развитием собственного бизнеса.

Подать документы на поступление можно до 13 августа. 🚀

Реклама. ООО «РВБ». ИНН 9714053621. erid: 2SDnjcd9GCK",non_marketing,other,[],none,Реклама. ООО «РВБ». ИНН 9714053621. erid: 2SDnjcd9GCK,"Чужой продукт: явная реклама магистратуры РУДН / РВБ со скидкой 10% и erid. Это реклама стороннего рекламодателя внутри канала, а не закупка рекламы Поступашками и не продажа курса XLSX. Расходы из erid не следуют."
algoses,593,https://t.me/algoses/593,2026-08-08T07:05:37+00:00,"Школьная сборная России третий год подряд стала абсолютным чемпионом на Международной олимпиаде по искусственному интеллекту IOAI-2026

Команда завоевала 8 медалей — 7 золотых и 1 бронзовую — и вновь доказала, что талант и знания открывают путь к большим победам.

Отбор проходил в СберУниверситете, а к турниру IOAI ребят готовили эксперты Альянса в сфере ИИ и Центрального университета.

В этом году конкуренция выросла кратно, но наши ребята снова оказались сильнейшими среди участников из более 100 стран в решении задач на самом фронтире технологий.

Поздравляем победителей!",non_marketing,,[],none,Школьная сборная России третий год подряд стала абсолютным чемпионом на Международной олимпиаде по искусственному интеллекту IOAI-2026,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
postypashki_mems,1372,https://t.me/postypashki_mems/1372,2026-08-08T09:05:19+00:00,"- А за меня уже все ИИ делает

@postypashki_mems",non_marketing,,[],none,- А за меня уже все ИИ делает,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
chad_protocol,510,https://t.me/chad_protocol/510,2026-08-08T09:24:53+00:00,"Почему автоотклики - полный кринж

В последнее время у зумеров стали популярны всякие ИИ-агенты и подобная нечесть, которая за тебя и LinkedIn, и GitHub заполнит, и вакансии найдёт, и под каждую напишет резюме с сопроводительным письмом, и с рекрутером пообщается, и собес пройдёт, и испытательный срок… и жену твою… Короче, полный кринж. Почему это всё не работает?

1. Профили, заполненные нейроскопом, LinkedIn отправляет в теневой бан.
Рекрутеры такие профили обходят стороной.

2. Про нейроскопные резюме и сопроводительные письма уже был мем.
Кандидат написал, что работал с моделями «Ясасу Бибу» и «Цист Яна». Сейчас вакансий и так немного, а кандидатов - завались, поэтому рекрутеры просто реджектят нейроскоп-резюме. Надо же как-то отсеивать.

3. То же самое с общением. Сгенерированный текст все научились различать невооружённым взглядом. Ну и вам самим приятно, когда собеседник тупо отвечает как GPT? У нас в РФ к этому пока терпимее, а вот за рубежом с их культурой общения - сразу бан. Причём в прямом смысле: добавляют в чёрные списки.

Блин, как же я умираю со смеху, когда говорят, что чёрных списков не существует. Серьёзно? Мы живём в мире, где ИИ-агенты проходят собесы и откликаются на вакансии, где есть селф-драйвы и распознавание лиц в метро. И вы думаете, рекрутер не может навайбкодить что-то подобное? Может, наша slavic girl, перекатившаяся с ноготочков на HR-менеджмент, и не сможет. А вот тётя Линда, которая живёт этим десяток лет, - спокойно навайбкодит. Это её хлеб, репутация и статус. Crazy пиндосы, короче.

4. А сколько мне за последний месяц отдали ТЗ с техническими ошибками, сгенерированными нейронкой…
Я знаю случаи, когда использование нейросети приводило к ошибкам в проде, но джуны/мидлы продолжают верить, что это революция, и бездумно копируют код из терминала в прод, не проверяя.
Я к этому отношусь очень скептически и всем зумерам ограничил права (серьезно всем младше 25 лет я не доверяю). Если нейронка выдаёт скрипт на удаление/merge/insert - десять раз проверяю перед использованием, потому что она может убить валидные данные. Но зумеры об этом не думают.
У меня команда состоит из:
3 ChatGPT,
1 Grok,
2 Claude Code,
2 Gemini,
1 Lovable,
и я на Claude Code + Gemini

Итого. Советую чат гпт использовать для вдохновения и шлифовки уже имеющегося решения/текста. Следите, чтобы решение не было сгенерено более чем на 20% нейронкой. И подключайтесь на наши курсы ""СТАРТ"" по топовой скидочки, где научим вас думать лучше нейросетки в 100 раз, научим проходить hr фильтры и строить топовую карьеру 🤩.
➡️ Записаться

Подписаться: @chad_protocol",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,"рено более чем на 20% нейронкой. И подключайтесь на наши курсы ""СТАРТ"" по топовой скидочки, где научим вас думать лучше нейросетки в 100 раз, научим проходить hr фильтры и строить топовую карьеру 🤩.
➡️ Записаться","Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам."
